team,home_away,w_l_d,shutouts,all_red,all_yellow,foul_mean,foul_median,score_mean,score_med,goal_rate,Draw,Loss,Win,wld_ratio,win_percent
Chicago St. Cougars,Home,0.10000000000000002,2,0,26,9.95,10,0.35,0,0.05785123966942149,2,17,1,1-17-2,5
Cincinnati Bearcats,Away,0.375,3,0,23,8.9,8.5,1.05,1,0.10144927536231885,5,10,5,5-10-5,25
Cincinnati Bearcats,Home,0.6799999999999999,9,0,24,10.68,11,1.7600000000000002,2,0.12324929971988796,6,5,14,14-5-6,56.00000000000001
Clemson Tigers,Away,0.5,6,2,29,10.741935483870968,11,1.5806451612903225,1,0.13066666666666665,5,13,13,13-13-5,41.935483870967744
Clemson Tigers,Home,0.7884615384615385,16,0,21,8.807692307692308,8.5,2.5384615384615383,2,0.1527777777777778,3,4,19,19-4-3,73.07692307692307
Cleveland St. Vikings,Away,0.3695652173913043,4,1,15,8.217391304347826,8,1.173913043478261,1,0.11065573770491803,3,13,7,7-13-3,30.434782608695656
Cleveland St. Vikings,Home,0.5681818181818182,6,0,9,8.409090909090908,8.5,1.7727272727272727,1,0.1392857142857143,3,8,11,11-8-3,50
Coastal Carolina Chanticleers,Away,0.2678571428571429,4,1,13,6.785714285714286,6,0.7857142857142858,0,0.08835341365461848,3,19,6,6-19-3,21.428571428571427
Coastal Carolina Chanticleers,Home,0.5476190476190477,7,0,19,10.095238095238095,10,1.4285714285714286,1,0.1276595744680851,3,8,10,10-8-3,47.61904761904761
Col. of Charleston Cougars,Away,0.2368421052631579,4,2,14,9.789473684210526,9,1.1052631578947367,1,0.09767441860465116,3,13,3,3-13-3,15.789473684210526
Col. of Charleston Cougars,Home,0.38461538461538464,6,0,14,8.576923076923077,8,1.2307692307692308,1,0.0810126582278481,4,14,8,8-14-4,30.76923076923077
Colgate Raiders,Away,0.28260869565217395,4,0,9,8.217391304347826,8,1,1,0.09504132231404959,1,16,6,6-16-1,26.08695652173913
Colgate Raiders,Home,0.575,8,0,11,8,8.5,1.2,1,0.08333333333333333,7,5,8,8-5-7,40
Colorado Buffaloes,Away,0.34615384615384615,5,0,18,7.615384615384616,7.5,1,1,0.09701492537313433,6,14,6,6-14-6,23.076923076923077
Colorado Buffaloes,Home,0.7166666666666667,13,1,23,8.966666666666667,8.5,2.166666666666667,2,0.1422319474835886,5,6,19,19-6-5,63.33333333333333
Colorado Col. Tigers,Away,0.41666666666666663,6,0,5,7.541666666666666,7,0.75,1,0.07086614173228346,4,12,8,8-12-4,33.33333333333333
Colorado Col. Tigers,Home,0.5238095238095238,5,0,8,10.285714285714286,10,1.3333333333333335,1,0.08259587020648967,6,7,8,8-7-6,38.095238095238095
Colorado St. Rams,Away,0.33333333333333337,3,1,14,8.238095238095237,8,0.7619047619047619,1,0.06349206349206349,6,11,4,4-11-6,19.047619047619047
Colorado St. Rams,Home,0.5,8,0,9,7.409090909090908,6.5,1.0909090909090908,1,0.09411764705882353,6,8,8,8-8-6,36.36363636363637
Columbia Lions,Away,0.43333333333333335,1,1,7,9.666666666666666,10,1.2,0,0.1125,1,8,6,6-8-1,40
Columbia Lions,Home,0.71875,9,0,12,8.375,8,1.875,1.5,0.13513513513513514,3,3,10,10-3-3,62.5
Cornell Big Red,Away,0.14705882352941174,2,0,10,9.882352941176471,10,0.6470588235294118,0,0.07236842105263158,3,13,1,1-13-3,5.88235294117647
Cornell Big Red,Home,0.5333333333333333,5,0,6,7.933333333333334,7,1.1333333333333333,1,0.0918918918918919,4,5,6,6-5-4,40
Creighton Bluejays,Away,0.33999999999999997,5,0,9,9.32,9,1,1,0.08305647840531562,5,14,6,6-14-5,24
